ID,DISTRICT,UPAZILA_THANA,INST_TYPE,LEVEL_OF_INSTITUTION,EIIN,NAME_OF_INSTITUTION,ADDRESS,POST,MOBAILE,E-mail
1,DHAKA,ADABOR,COLLEGE,HIGHER SECONDARY ,133980,COLLEGE OF HUMAN DEVELOPMENT,"39, JANATA HOUSING",MOHAMMADPUR,01712203212,
2,DHAKA,ADABOR,COLLEGE,HIGHER SECONDARY ,134614,MISSION INTERNATIONAL COLLEGE,"37/UMA/1, ROAD-6, BAITUL AMAN HOUSING SOCIETY",MOHAMMADPUR,01922001134,
3,DHAKA,ADABOR,COLLEGE,HIGHER SECONDARY ,130560,QUEEN'S COLLEGE,"HOUSE 1132/C, ROAD 1/A",MOHAMMADPUR,01912486170,
4,DHAKA,BADDA,COLLEGE,MASTERS ,108031,A.K.M. RAHMAT ULLAH DEGREE COLLEGE,BORO BERAID,BARA BARAID,01725130474,
5,DHAKA,BADDA,COLLEGE,DEGREE (PASS) ,107974,DHAKA IMPERIAL COLLEGE,"35-45, AFTAB NAGAR",BADDA,01999055000,
6,DHAKA,BADDA,COLLEGE,DEGREE (PASS) ,108032,GULSHAN COLLEGE,K 45 JOAR SAHARA,KHILKHAT,01716150359,
7,DHAKA,BADDA,COLLEGE,HIGHER SECONDARY ,131904,GULSHAN COMMERCE COLLEGE,"GA-97 & GA-195  PROGOTI SARANI, MIDDLE BADDA",GULSHAN,01711980880,
8,DHAKA,BADDA,COLLEGE,HIGHER SECONDARY ,134620,HARVARD INTERNATIONAL COLLEGE,KA-39/1 KURIL BISWA ROAD,DHAKA-1229,01712960987,
9,DHAKA,BADDA,COLLEGE,HIGHER SECONDARY ,131218,KING'S COLLEGE,KA-40/2 PRAGATI SARANI,DHAKA-1229,01720557178,
10,DHAKA,BADDA,COLLEGE,HIGHER SECONDARY ,108033,MAHANAGOR COLLEGE,RAJUK PURNOBASON ALAKA 6/7 ROAD,BADDA (GULSHAN),01912757978,
11,DHAKA,BADDA,COLLEGE,HIGHER SECONDARY ,134239,MARTIN LUTHER COLLEGE,"ROAD NO # 3/A, HOUSE NO # 07, BLOCK # J, BARIDHARA",BADDA,01745952307,
12,DHAKA,BADDA,COLLEGE,HIGHER SECONDARY ,136858,MONPURA COLLEGE,"107/1, PROGATI SARONI, BADDA",BADDA,01841144222,
13,DHAKA,BADDA,COLLEGE,HIGHER SECONDARY ,136285,UDAYAN IDEAL COLLEGE,"T-134, MIDDLE BADDA, LINGKROAD",GULSHAN,01552374194,
14,DHAKA,BANGSHAL,COLLEGE,MASTERS ,108137,"SK. BORHANUDDIN COLLEGE, DHAKA","62, NAZIMUDDIN ROAD, DHAKA-1100",CHAK BAZAR,01715911022,
15,DHAKA,BANANI,COLLEGE,HIGHER SECONDARY ,134566,CROWN BUSINESS STUDIES COLLEGE,"103,MOHAKHALI",MOHAKHALI,01822889900,
16,DHAKA,BANANI,COLLEGE,MASTERS ,108035,GOVT. TITUMIR COLLEGE,GULSHAN ROAD,GULSHAN,01712436724,
17,DHAKA,BANANI,COLLEGE,DEGREE (HONORS),108036,T&T  MOHILA   COLLEGE,20 MOHAKHALI WIRELESS DHAKA,GULSHAN,01712036460,
18,DHAKA,CANTONMENT,COLLEGE,MASTERS ,107855,ADAMJEE CANTONMENT COLLEGE,DHAKA CANTT DHAKA,DHAKA CANTT.,01675405726,
19,DHAKA,CANTONMENT,COLLEGE,DEGREE (PASS) ,107857,SHAEED RAMIZUDDIN CANTONMENT COLLEGE,SHAHEED MANNAN LINE ROAD,DHAKA CANTONMENT,01712680275,
20,DHAKA,CHAK BAZAR,COLLEGE,HIGHER SECONDARY ,134596,ISLAMBAG IDEAL COLLEGE,42 O69/1ISLAMBAG,POSTA,01712863822,
21,DHAKA,CHAK BAZAR,COLLEGE,DEGREE (HONORS),108156,METROPOLIS COLLEGE,"HAJI BALLU ROAD, RAHAMATGONJ",POSTA,01557304221,
22,DHAKA,DAKSHINKHAN,COLLEGE,HIGHER SECONDARY ,134599,HAZI COLLEGE,383,ASHKONA,01792156897,
23,DHAKA,DAKSHINKHAN,COLLEGE,DEGREE (HONORS),108568,SARDAR SURUZZAMAN MOHILA COLLEGE,DAKHIN KHAN,DAKSHINKHAN,01915620493,
24,DHAKA,DAKSHINKHAN,COLLEGE,DEGREE (HONORS),108565,UTTARA ANWARA MODEL DEGREE COLLEGE,DASKHIN KHAN,DAKSHINKHAN,01550400090,
25,DHAKA,DEMRA,COLLEGE,DEGREE (HONORS),107908,DEMRA COLLEGE,KAMARGOP,DEMRA,01914496509,
26,DHAKA,DEMRA,COLLEGE,HIGHER SECONDARY ,137604,DEMRA IDEAL COLLEGE,"MOLLA TOWER, AMULIA ROAD",SARULIABAZAR,01706572842,
27,DHAKA,DEMRA,COLLEGE,DEGREE (HONORS),107911,MATUAIL HAJI ABDUL LATIF BHUIYAN COLLEGE,MATUAIL,MATUAIL,01912710157,
28,DHAKA,DEMRA,COLLEGE,HIGHER SECONDARY ,107913,RONGMALA AKBAR MHILA COLLEGE,TEBGRA ROAD,SARULIA,01977674200,
29,DHAKA,DEMRA,COLLEGE,HIGHER SECONDARY ,134213,SHARULIA IDEAL GIRLS COLLEGE,64NO. WEST BOXNAGAR,SARULIA,01924466573,
30,DHAKA,DHANMONDI,COLLEGE,MASTERS ,107975,DHAKA CITY COLLEGE,"HOUSE# 5,ROAD-2,DHANMONDI R/A",NEWMARKET,01755578006,
31,DHAKA,DHANMONDI,COLLEGE,HIGHER SECONDARY ,107979,DHAKA PRESIDENCY COLLEGE,"120 WEST DHANMONDI, ROAD- 9/A",ZIGATOLA,01914737990,
32,DHAKA,DHANMONDI,COLLEGE,HIGHER SECONDARY ,133847,DHAKA PUBLIC COLLEGE,"69/E, PANTHAPATH, GREEN ROAD, DHAKA-1205.",NEW MARKET,01718246339,
33,DHAKA,DHANMONDI,COLLEGE,MASTERS ,107972,DR. MALEKA COLLEGE,DHANMONDI,ZIKATOLA,01711059841,
34,DHAKA,DHANMONDI,COLLEGE,HIGHER SECONDARY ,134605,HOLY FLOWER MODEL COLLEGE,"42/B,SALEK ROAD(NEW ROAD)",JIGATOLA,01711960062,
35,DHAKA,DHANMONDI,COLLEGE,DEGREE (HONORS),107971,IDEAL  COLLEGE,"65, CENTRAL ROAD",NEWMARKET,01550400072,
36,DHAKA,DHANMONDI,COLLEGE,HIGHER SECONDARY ,133714,SAMOTA COLLEGE,"HOUSE# 119, ROAD# 9/A",JIGATOLA,01819423017,
37,DHAKA,DHANMONDI,COLLEGE,HIGHER SECONDARY ,107973,STAMFORD COLLEGE,"HOUSE#35/A,ROAD#9/A,DHANMONDI,DHAKA-1209",DHANMONDI,01733795758,
38,DHAKA,DHANMONDI,COLLEGE,DEGREE (HONORS),107976,UNIVERSITY WOMEN'S FEDERATION COLLEGE,"HOUSE  NO - 16 & 16/1 (NEW - 13 ) , ROAD NO-6",NEWMARKET,01747976098,
39,DHAKA,BHANSAN TEK,COLLEGE,HIGHER SECONDARY ,136841,VASHANTEK GOVT. COLLEGE,VASHANTEK  (WITHIN BRP PROJECT),DHAKA CANTONMENT,01552419948,
40,DHAKA,BHATARA,COLLEGE,HIGHER SECONDARY ,134219,QUEEN MARY COLLEGE,"K-90, PROGATI SHORNI",BADDA (KHILKHET),01750000946,
41,DHAKA,GENDARIA,COLLEGE,MASTERS ,108511,FAZLUL HOQ MOHILA COLLEGE,12 AKHYADAS LANE,FARIDABAD,01715167068,
42,DHAKA,GULSHAN,COLLEGE,HIGHER SECONDARY ,136932,GLASGOW COMMERCE COLLEGE,"KA-85/1, SHAHJADPUR, GULSHAN, DHAKA",GULSHAN,01712014058,
43,DHAKA,GULSHAN,COLLEGE,HIGHER SECONDARY ,136873,GULSHAN PUBLIC COLLEGE,"KA-43, SHAHAJADPUR PROGOTI SARONI",GULSHAN,01716588354,
44,DHAKA,HAZARIBAGH,COLLEGE,HIGHER SECONDARY ,136260,BEGUM SHEIKH FAZILATUN NESSA MUJIB GOVT. COLLEGE,HAZARIBAGH,HAZARIBAGH,01552464994,
45,DHAKA,HAZARIBAGH,COLLEGE,HIGHER SECONDARY ,134632,DHANMONDI COLLEGE,"78, HAZARIBAG,ZIGATALA,DHANMONDI",ZIGATALA,01712020643,
46,DHAKA,JATRABARI,COLLEGE,HIGHER SECONDARY ,136276,CCER MODEL COLLEGE,"5/5, PALASHPUR, DANIA",UTTAR JATRABARI,01844165858,
47,DHAKA,JATRABARI,COLLEGE,DEGREE (PASS) ,107909,DANIA COLLEGE,DANIA,DANIA,01819214793,
48,DHAKA,JATRABARI,COLLEGE,HIGHER SECONDARY ,137057,DHAKA CHARTERED COMMERCE COLLEGE,"01,JATRABARI",JATRABARI,01830731954,
49,DHAKA,JATRABARI,COLLEGE,HIGHER SECONDARY ,133965,"DR. MAHBUBUR RAHMAN MOLLAH COLLEGE,JATRABARI","DEMRA ROAD, JATRABARI, DHAKA",MATUAIL,7554355,
50,DHAKA,JATRABARI,COLLEGE,HIGHER SECONDARY ,131457,IDEAL LABORATORY COLLEGE,"943, KAZLA, DEMRA ROAD",MATUAIL,01819195761,
51,DHAKA,JATRABARI,COLLEGE,HIGHER SECONDARY ,134265,"METROPALITAN COLLEGE, DHAKA",329/8 SOUTH  JATRABARI,JATRABARI,01720557188,
52,DHAKA,JATRABARI,COLLEGE,HIGHER SECONDARY ,134220,METROPOLITAN CREATIVE COLLEGE,"17, DHALPUR, JATRABARI, DHAKA",FARIDABAD,01784194262,
53,DHAKA,JATRABARI,COLLEGE,HIGHER SECONDARY ,134610,NORTHERN UNIVERSITY LABORATORY COLLEGE,SONTEK PRODHAN SORAK,DONIA,01678418899,
